:::::END_GAME::::: 2021-07-17 22:40:20,621 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:40:20,622 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:40:20,622 - INFO - RESPONSE CODE: 415 - STATUS: Unsupported Media Type
:::::END_GAME::::: 2021-07-17 22:40:20,625 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 22:41:04,597 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:41:05,753 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:41:05,754 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:41:05,754 - INFO - RESPONSE CODE: 415 - STATUS: Unsupported Media Type
:::::END_GAME::::: 2021-07-17 22:41:05,755 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 22:43:56,430 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:43:57,891 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:43:57,892 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:43:57,893 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 22:43:57,893 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 22:46:03,474 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:46:04,893 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:46:04,893 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:46:04,893 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 22:46:04,899 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 22:46:23,517 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:46:24,670 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:46:24,671 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:46:24,671 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 22:46:24,677 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 22:46:56,792 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:46:57,864 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:46:57,864 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:46:57,865 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 22:47:18,860 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:47:19,634 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:47:19,634 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:47:19,635 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 22:47:19,638 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 22:47:26,022 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:47:26,822 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:47:26,822 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:47:26,823 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 22:47:26,826 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 22:48:07,214 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:48:08,130 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:48:08,131 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:48:08,131 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 22:48:08,134 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 22:49:13,938 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:49:14,818 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:49:14,819 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:49:14,819 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 22:49:14,822 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 22:50:54,415 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 22:50:55,254 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 22:50:55,255 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 22:50:55,255 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 22:50:55,258 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 23:06:50,478 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 23:06:51,286 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 23:06:51,287 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 23:06:51,287 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 23:39:01,861 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 23:39:03,203 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 23:39:03,204 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 23:39:03,204 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 23:39:03,209 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-18 00:33:49,042 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-18 00:33:50,369 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-18 00:33:50,369 - INFO - Connection established
:::::END_GAME::::: 2021-07-18 00:33:50,370 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-18 00:33:50,374 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-18 00:33:58,479 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-18 00:33:59,508 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-18 00:33:59,509 - INFO - Connection established
:::::END_GAME::::: 2021-07-18 00:33:59,510 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-18 00:33:59,514 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-18 00:34:32,904 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-18 00:34:34,148 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-18 00:34:34,149 - INFO - Connection established
:::::END_GAME::::: 2021-07-18 00:34:34,149 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-18 00:34:34,153 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-18 00:34:56,367 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-18 00:34:57,529 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-18 00:34:57,530 - INFO - Connection established
:::::END_GAME::::: 2021-07-18 00:34:57,531 - INFO - RESPONSE CODE: 404 - STATUS: Not Found
